Date,Confirmed,Recovered,Deaths,Active,NewCases,temperature
2020-06-29,60973,52997,6510,1466,116,23.7233771978924
2020-06-30,61167,53069,6512,1586,194,23.8980636962806
2020-07-01,61410,53182,6513,1715,243,24.4599323258106
2020-07-02,61670,53263,6514,1893,260,24.1919304421472
2020-07-03,61981,53371,6515,2095,311,21.7995090893614
2020-07-04,62117,53483,6517,2117,136,22.4434875633959
2020-07-05,62220,53536,6517,2167,103,23.7003161606478
2020-07-06,62391,53572,6517,2302,171,24.4654470552404
2020-07-07,62766,53662,6518,2586,375,23.3209972135866
2020-07-08,63186,53819,6518,2849,420,23.3972529615854
2020-07-09,63678,53864,6519,3295,492,24.3776217953526
2020-07-10,64402,53974,6520,3908,724,24.4385891430455
2020-07-11,64654,54221,6522,3911,252,24.1801845279969
2020-07-12,64864,54280,6523,4061,210,23.7698940680163
2020-07-13,65398,54348,6523,4527,534,24.1868727378606
2020-07-14,66095,54463,6523,5109,697,23.8537388645163
2020-07-15,66979,54655,6523,5801,884,22.7409178868292
2020-07-16,67836,54897,6523,6416,857,22.2858604494299
2020-07-17,68916,55156,6524,7236,1080,23.039979022351
2020-07-18,69548,55466,6526,7556,632,23.7345465406678
2020-07-19,69948,55600,6527,7821,400,24.3293612971577
2020-07-20,70797,55703,6531,8563,849,24.3607993342269
2020-07-21,72037,55874,6536,9627,1240,24.5799503363842
2020-07-22,73194,56248,6538,10408,1157,24.7742514298591
2020-07-23,74332,56668,6540,11124,1138,25.5548770971858
2020-07-24,75504,57159,6543,11802,1172,25.2731067044955
2020-07-25,76008,57882,6549,11577,504,25.1764336241514
2020-07-26,76468,58132,6554,11782,460,24.9484438121133
2020-07-27,77319,58341,6561,12417,851,25.7663928623605
2020-07-28,78595,58875,6562,13158,1276,25.9651455223393
2020-07-29,79931,59572,6564,13795,1336,25.9556257921751
2020-07-30,81084,60456,6569,14059,1153,26.4596549529068
2020-07-31,82333,61313,6575,14445,1249,26.9084206261443
2020-08-01,82907,62392,6579,13936,574,27.3401685782862
2020-08-02,83245,63022,6582,13641,338,26.3377897086721
2020-08-03,84099,63421,6584,14094,854,23.4283254359323
2020-08-04,85248,64266,6588,14394,1149,23.0979922051616
2020-08-05,86310,65501,6592,14217,1062,24.1088817658693
2020-08-06,87381,66656,6598,14127,1071,24.9642985804179
2020-08-07,88592,67792,6601,14199,1211,25.6324749307519
2020-08-08,89137,68961,6602,13574,545,26.0659130442882
2020-08-09,89504,69459,6607,13438,367,26.2570354377448
2020-08-10,90494,69914,6613,13967,990,25.9115296860172
2020-08-11,91619,70758,6617,14244,1125,26.2675267809211
2020-08-12,92741,72033,6620,14088,1122,26.1658517394837
2020-08-13,93851,73367,6625,13859,1110,25.9261139604722
2020-08-14,95119,74515,6631,13973,1268,25.4710096475462
2020-08-15,95701,75758,6637,13306,582,25.3410223679235
2020-08-16,96136,76328,6640,13168,435,25.0069817920371
2020-08-17,97154,76663,6645,13846,1018,24.8791499803263
2020-08-18,98478,77515,6651,14312,1324,24.99800194653
2020-08-19,99719,78660,6657,14402,1241,25.7544469788832
2020-08-20,101043,79718,6667,14658,1324,26.0928341338061
2020-08-21,102475,80783,6672,15020,1432,26.3748578141284
2020-08-22,103022,81991,6676,14355,547,26.2858400669335
2020-08-23,103477,82535,6681,14261,455,24.9706916458081
2020-08-24,104640,82897,6694,15049,1163,24.2838490459112
2020-08-25,106036,83881,6698,15457,1396,25.4259173210639
2020-08-26,107526,85002,6703,15821,1490,25.8591947891323
2020-08-27,108872,86121,6710,16041,1346,25.7323221784603
2020-08-28,110219,87226,6718,16275,1347,25.1056037759681
2020-08-29,110749,88488,6723,15538,530,20.0020851658973
2020-08-30,111202,89064,6728,15410,453,19.7944424129171
2020-08-31,112327,89496,6733,16098,1125,20.3586510279728
2020-09-01,113681,90509,6742,16430,1354,22.1024028665006
2020-09-02,114837,91827,6748,16262,1156,21.6315349793391
2020-09-03,116080,93062,6756,16262,1243,22.7988076273093
2020-09-04,117545,94376,6763,16406,1465,23.0422208885077
2020-09-05,118131,95803,6770,15558,586,23.3958775300197
2020-09-06,118535,96346,6775,15414,404,23.0131485576822
2020-09-07,119545,96796,6781,15968,1010,20.2365506614016
2020-09-08,120764,97946,6787,16031,1219,21.0855085526737
2020-09-09,121980,99338,6799,15843,1216,20.8287110295015
2020-09-10,123395,100823,6813,15759,1415,21.9153080953394
2020-09-11,123958,102162,6818,14978,563,23.7698434502368
2020-09-12,124581,103501,6821,14259,623,24.3714748098817
2020-09-13,125004,104026,6825,14153,423,24.3474833010317
2020-09-14,126046,104474,6838,14734,1042,23.7160807205328
2020-09-15,127550,105594,6844,15112,1504,23.6719372858149
2020-09-16,128983,106939,6853,15191,1433,23.4139761202077
2020-09-17,130205,108089,6861,15255,1222,23.9295593918046
2020-09-18,131702,109324,6873,15505,1497,23.3356365435681
2020-09-19,132259,110782,6883,14594,557,22.5130599173738
2020-09-20,132738,111361,6887,14490,479,22.6945545570904
2020-09-21,133981,111760,6898,15323,1243,21.3745215882792
2020-09-22,135297,112764,6903,15630,1316,21.0723900258417
2020-09-23,136675,113977,6911,15787,1378,21.9050035440629
2020-09-24,137557,115181,6924,15452,882,22.6751322732688
2020-09-25,138850,116582,6933,15335,1293,19.1580098026138
2020-09-26,139448,117140,6939,15369,598,17.9278704480591
2020-09-27,139829,117760,6952,15117,381,17.1946897888348
2020-09-28,141028,118179,6964,15885,1199,18.3816625271526
2020-09-29,142502,119208,6979,16315,1474,19.3259148089245
2020-09-30,144001,120706,6995,16300,1499,19.3250202560127
2020-10-01,145560,122130,7006,16424,1559,20.3520831549227
2020-10-02,147380,123344,7014,17022,1820,17.7415160672006
2020-10-03,148180,124829,7025,16326,800,16.1107704638371
2020-10-04,148772,125376,7037,16359,592,17.2915889495896
2020-10-05,150396,125851,7047,17498,1624,16.4903927667124
2020-10-06,152551,127083,7060,18408,2155,18.9867008573173
2020-10-07,154632,128394,7067,19171,2081,19.9978978476308
2020-10-08,157137,129764,7078,20295,2505,19.8309056924543
2020-10-09,159997,130633,7095,22269,2860,19.8390985248365
2020-10-10,161151,131917,7112,22122,1154,18.4459076400258
2020-10-11,162225,132509,7127,22589,1074,15.392547304159
2020-10-12,163268,132877,7144,23247,1043,16.3629926105325
2020-10-13,166223,134064,7156,25003,2955,16.4736422197646
2020-10-14,169860,135523,7166,27171,3637,14.1605006733627
2020-10-15,173750,137006,7185,29559,3890,14.1411763431708
2020-10-16,177892,138554,7209,32129,4142,13.9607608780351
2020-10-17,179814,140366,7228,32220,1922,14.7185851162533
2020-10-18,181287,141155,7247,32885,1473,15.5253951686638
2020-10-19,185259,141735,7275,36249,3972,16.4330954271847
2020-10-20,190939,143349,7297,40293,5680,18.6369675044021
2020-10-21,196977,145491,7317,44169,6038,19.9304009344053
2020-10-22,203106,147565,7349,48192,6129,19.057227382476
2020-10-23,208795,150059,7386,51350,5689,18.8177418532779
2020-10-24,211367,152902,7414,51051,2572,16.7687681656752
2020-10-25,213450,154039,7444,51967,2083,17.6303246869632
2020-10-26,218787,155098,7488,56201,5337,15.0507101277638
2020-10-27,224617,156124,7524,60969,5830,14.6121763681793
2020-10-28,230099,159067,7559,63473,5482,16.0305874175512
2020-10-29,234957,162694,7596,64667,4858,16.667507650059
2020-10-30,240011,166565,7661,65785,5054,16.6336040434131
2020-10-31,242544,170683,7715,64146,2533,16.770402109163
2020-11-01,244135,172586,7764,63785,1591,16.9561386706506
2020-11-02,249149,174040,7825,67284,5014,17.3034977950455
2020-11-03,254295,177984,7893,68418,5146,16.6786385141523
2020-11-04,258748,183642,7961,67145,4453,14.6281429695771
2020-11-05,262906,189660,8037,65209,4158,15.3215430538225
2020-11-06,266890,195757,8090,63043,3984,17.2672809831225
2020-11-07,268571,201409,8140,59022,1681,17.3091875232743
2020-11-08,269541,203953,8205,57383,970,14.9095112616123
2020-11-09,272972,206006,8278,58688,3431,15.2743744497021
2020-11-10,276615,211299,8329,56987,3643,15.370287031427
2020-11-11,279569,217093,8392,54084,2954,14.7806457627545
2020-11-12,282185,222540,8458,51187,2616,15.0097404548929
2020-11-13,284665,227361,8510,48794,2480,15.3180510338404
2020-11-14,285686,232350,8560,44776,1021,15.6435904252516
2020-11-15,286275,234829,8606,42840,589,16.6196896667954
2020-11-16,288814,236371,8664,43779,2539,16.1322615966739
2020-11-17,291270,241324,8722,41224,2456,14.6069387601423
2020-11-18,293233,246402,8775,38056,1963,14.125718750112
2020-11-19,294933,250787,8828,35318,1700,15.1725696739416
2020-11-20,296629,254869,8871,32889,1696,13.2780028578039
2020-11-21,297210,258800,8916,29494,581,11.6089170400924
2020-11-22,297607,260431,8949,28227,397,11.2932747966862
2020-11-23,299316,261336,8995,28985,1709,11.9492067645756
2020-11-24,300891,264694,9016,27181,1575,12.6631131905627
2020-11-25,302341,268286,9074,24981,1450,14.200771397227
2020-11-26,303664,271177,9116,23371,1323,15.2783381323791
2020-11-27,305170,273727,9160,22283,1506,14.8517183499844
2020-11-28,305776,276155,9194,20427,606,13.9387178920007
2020-11-29,306159,277126,9236,19797,383,14.6957352854114
2020-11-30,307684,277669,9282,20733,1525,12.5159257072619
2020-12-01,309150,280150,9325,19675,1466,11.9859062891364
2020-12-02,310544,282548,9356,18640,1394,10.4152671800189
2020-12-03,311755,284458,9408,17889,1211,9.74731426735907
2020-12-04,312970,286105,9438,17427,1215,10.7798781718018
2020-12-05,313464,287758,9465,16241,494,8.24965282665769
2020-12-06,313818,288294,9496,16028,354,8.87689444801146
2020-12-07,315276,288658,9523,17095,1458,10.0606071599928
2020-12-08,315708,290321,9552,15835,432,10.1994271665607
2020-12-09,317574,291875,9591,16108,1866,9.6832275380376
2020-12-10,319302,293267,9638,16397,1728,10.8669584360372
2020-12-11,321118,294548,9665,16905,1816,12.0027294850007
2020-12-12,321889,296010,9695,16184,771,12.6844335491147
2020-12-13,322488,296582,9723,16183,599,11.2318767893371
2020-12-14,324725,296923,9741,18061,2237,12.493475519686
2020-12-15,326912,298402,9770,18740,2187,13.4704797281496
2020-12-16,328930,299825,9791,19314,2018,11.5184249374765
2020-12-17,330923,301188,9809,19926,1993,12.348248559179
2020-12-18,333143,302347,9838,20958,2220,13.3476335068589
2020-12-19,334155,303532,9863,20760,1012,12.5524484186182
2020-12-20,334850,303999,9897,20954,695,12.3479369862437
2020-12-21,337559,304322,9917,23320,2709,11.7476822650227
2020-12-22,340280,305753,9953,24574,2721,11.5670997776866
2020-12-23,342948,306156,9993,26799,2668,12.5266748996669
2020-12-24,345349,307983,10022,27344,2401,11.5674576727714
2020-12-25,346095,309664,10050,26381,746,8.71091697919008
2020-12-26,347063,311453,10083,25527,968,7.8249136417495
2020-12-27,347961,312194,10114,25653,898,7.50360429148718
2020-12-28,351548,312765,10149,28634,3587,10.3514450018843
2020-12-29,355334,314984,10185,30165,3786,9.4506578874889
2020-12-30,359041,317142,10223,31676,3707,8.54367053784442
2020-12-31,362696,319139,10263,33294,3655,8.91372211171641
2021-01-01,363626,321114,10301,32211,930,8.04408049177977
2021-01-02,365146,323305,10351,31490,1520,6.71164333846575
2021-01-03,366406,324292,10396,31718,1260,6.47141292064055
2021-01-04,370790,324953,10428,35409,4384,6.20656304199163
2021-01-05,375601,327642,10472,37487,4811,5.48941070078807
2021-01-06,376811,330327,10501,35983,1210,5.48792009321719
2021-01-07,381201,332955,10548,37698,4390,5.66546286140841
2021-01-08,386054,335327,10595,40132,4853,5.56363542333777
2021-01-09,388033,336045,10644,41344,1979,6.44455863590824
2021-01-10,389585,336980,10697,41908,1552,6.70324386801807
2021-01-11,395029,337847,10746,46436,5444,6.06687368493207
2021-01-12,400262,341399,10798,48065,5233,5.47352878631817
2021-01-13,404877,345149,10849,48879,4615,7.7765641564145
2021-01-14,408907,348818,10906,49183,4030,7.71513313905992
2021-01-15,413005,352433,10953,49619,4098,8.71111028914314
2021-01-16,414915,353325,10998,50592,1910,8.50813717500709
2021-01-17,416327,354795,11052,50480,1412,10.0990778421072
2021-01-18,421001,356010,11104,53887,4674,9.79782352369535
2021-01-19,425625,360362,11176,54087,4624,9.51896097553379
2021-01-20,429685,365129,11228,53328,4060,10.5767114630156
2021-01-21,433441,366310,11290,55841,3756,11.2595901752037
2021-01-22,437239,370653,11366,55220,3798,12.1900356104671
2021-01-23,438853,375459,11414,51980,1614,10.7846712102099
2021-01-24,440072,377389,11490,51193,1219,12.0422677228525
